example_id,conversation_id,brand,customer_message,conversation_context,model_recommended_intent,model_recommended_decision,gold_intent,gold_decision,escalation_reason,difficulty,annotation_note,annotated_by_human
gold_001,conv_164802,AmazonHelp,@115830 trying to change the delivery address on my order but cannot do it - please help!,Customer ID: 154199 | Turn Count: 3,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_002,conv_83364,AmazonHelp,Parabéns @117086 pela agilidade na entrega dos produtos *-* outros e-commerces poderiam seguir o seu exemplo,Customer ID: 134320 | Turn Count: 4,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_003,conv_136891,AmazonHelp,Buenos días @116928. Muy LAMENTABLE hacerme Prime para recibir el pedido el día siguiente y al final tenga que esperar 5 días para poder recibirlo porque habéis intentado entregar un sobre sin identificar y sin datos excepto la dirección. ¿Ahora a esperar al lunes? De pena.,Customer ID: 146876 | Turn Count: 4,account_login_prime,AUTO_HANDLE,account_login_prime,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_004,conv_43742,AmazonHelp,"@115821 I ordered $100 visa gift card on Nov 19th using prime membership, whose delivery date was 21st and since then I am waiting for my product. When I am calling at amazon they are either transferring my call or giving me false promises. I want answer. SHAMEFUL",Customer ID: 125706 | Turn Count: 8,account_login_prime,AUTO_HANDLE,account_login_prime,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_005,conv_91486,AmazonHelp,"@AmazonHelp question, how come your courier failed to gain access to my property in spite of the fact I’m currently sitting in my home and just tested my doorbell. Deliberately waiting for this delivery, not ideal!!!",Customer ID: 135830 | Turn Count: 2,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_006,conv_31348,AmazonHelp,"@115821 hey amazon, you guys really fucking suck",Customer ID: 122909 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_007,conv_166542,AmazonHelp,"@AmazonHelp hi, my order was late and I have been charged twice",Customer ID: 154683 | Turn Count: 2,payment_billing_issue,AUTO_HANDLE,payment_billing_issue,AUTO_HANDLE,,medium,Initial candidate example.,False
gold_008,conv_58768,AmazonHelp,"@115830 waited in all day for delivery, guaranteed by 8pm. Just informed now could be up to 6 Nov. Tracked driver today, was within 100 yards from our house!!!! What went wrong!?! Need item asap, please resolve!",Customer ID: 129378 | Turn Count: 11,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_009,conv_59573,AmazonHelp,"@115821 ""Package left in a secure location."" Really? My house is about 400' down the road. That's a ditch they're sitting in. https://t.co/gEtyDDG3iJ",Customer ID: 129589 | Turn Count: 2,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_010,conv_21941,AmazonHelp,@115850 @115821 @AmazonHelp fed up pls look Order#4__credit_card__. I want my products dont need apologies. more than 5 apologise withme,Customer ID: 120777 | Turn Count: 16,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_011,conv_27835,AmazonHelp,"@116316 will offenbar nicht mehr mit mir zusammenarbeigten. Anders ist nicht zu erklären, dass meine Bankverbindung gelöscht wurde",Customer ID: 122092 | Turn Count: 8,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_012,conv_153697,AmazonHelp,Hey @115830 😐 Good job we are in ... this isn’t really acceptable. Even my 2 year old wanted to know why the man did this ?! https://t.co/jI5CuawZum,Customer ID: 140352 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_013,conv_133705,AmazonHelp,@119625 when is the prime music coming,Customer ID: 146141 | Turn Count: 3,account_login_prime,AUTO_HANDLE,account_login_prime,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_014,conv_25293,AmazonHelp,@AmazonHelp where is my order? I paid for 1 day delivery yesterday and no notification to say to pick it up at the pick up point.,Customer ID: 121470 | Turn Count: 8,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_015,conv_43265,AmazonHelp,"@79389 purchased these from @115830 and they don't come charged as advertised neither do the charge fully, only to 95%, shocking item https://t.co/zEpNnZg5Sk",Customer ID: 125586 | Turn Count: 3,payment_billing_issue,AUTO_HANDLE,payment_billing_issue,AUTO_HANDLE,,medium,Initial candidate example.,False
gold_016,conv_150508,AmazonHelp,"@AmazonHelp you can't call, won't allow me to call....how do we resolve issues? Hope you have not grown too big...that you steamroll customers.",Customer ID: 148235 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_017,conv_93582,AmazonHelp,@115821 your remote control for the fire stick takes idiocy to levels I thought impossible. You need a pneumatic drill to open it to put the batteries in. Still not open and I'm about to launch it down the street. What a load of crap,Customer ID: 136283 | Turn Count: 4,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_018,conv_21496,AmazonHelp,@115850 Got fake mobiles twice instead of my ordered One Plus 5.Its been 15days since I'm struggling.#Shame #fraud #OnePlus5 #AmazonIndia,Customer ID: 120695 | Turn Count: 5,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_019,conv_71912,AmazonHelp,Hola @116928 ¿Qué puedo hacer si una pieza de mi último pedido no funciona? Gracias,Customer ID: 132133 | Turn Count: 5,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
